path	status	authority	runtime_ready	notes
reference/concept-boards/00-overall-ui-kit.png	approved	canonical	false	Overall UI Kit visual authority.
reference/concept-boards/01-buttons-tabs.png	approved	canonical-phase	false	Buttons and tabs visual reference.
reference/concept-boards/02-panels-containers.png	approved	canonical-phase	false	Panels and containers visual reference.
reference/concept-boards/03-hud-notifications-alerts.png	approved	canonical-phase	false	HUD, notifications, and alerts visual reference.
reference/concept-boards/04-results-character-select.png	approved	canonical-phase	false	Results, rewards, and Character Select visual reference.
reference/motion/ui-motion-reference.png	approved	behavioral-reference	false	Motion sequence reference reconstructed from the approved motion direction and current assets.
source-sheets/phase-01-buttons-tabs.png	approved	approved-extraction-source	false	Approved Phase 1 source sheet.
source-sheets/phase-02-panels-containers.png	approved	approved-extraction-source	false	Approved Phase 2 source sheet.
source-sheets/phase-03-hud-notifications-alerts.png	approved	approved-extraction-source	false	Approved Phase 3 source sheet with optional exploratory regions.
source-sheets/phase-04-results-character-select.png	approved	approved-extraction-source	false	Corrected approved Phase 4 source sheet.
